date,source_region,import_value_usd,net_weight_kg
1/1/10,EU-27,24854402,12003974
1/1/10,New Zealand,107644054,39529438
2/1/10,EU-27,19625977,9672590
2/1/10,New Zealand,92755209,30260970
3/1/10,EU-27,20475926,8894573
3/1/10,New Zealand,131662366,39559357
4/1/10,EU-27,14091731,6540916
4/1/10,New Zealand,114378098,33861164
5/1/10,EU-27,16055953,7018835
5/1/10,New Zealand,108334040,31873141
6/1/10,EU-27,20676620,9574439
6/1/10,New Zealand,142796818,41516248
7/1/10,EU-27,28102484,12505445
7/1/10,New Zealand,113581906,31443317
8/1/10,EU-27,31779728,13723866
8/1/10,New Zealand,77067474,18980643
9/1/10,EU-27,36441213,17495503
9/1/10,New Zealand,60915654,15611604
10/1/10,EU-27,27698238,12389105
10/1/10,New Zealand,84797580,21991116
11/1/10,EU-27,26813322,12491882
11/1/10,New Zealand,126703229,35556960
12/1/10,EU-27,33913741,14871953
12/1/10,New Zealand,137029016,40538273
1/1/11,EU-27,34753582,16284663
1/1/11,New Zealand,189208357,53754816
2/1/11,EU-27,21793981,10791626
2/1/11,New Zealand,162023281,45152872
3/1/11,EU-27,32472951,13956607
3/1/11,New Zealand,207636233,57111644
4/1/11,EU-27,28331398,12870800
4/1/11,New Zealand,243308393,65481530
5/1/11,EU-27,33437782,13545909
5/1/11,New Zealand,153863631,38851124
6/1/11,EU-27,24649172,11708240
6/1/11,New Zealand,120490901,29213462
7/1/11,EU-27,36363762,15110736
7/1/11,New Zealand,107099737,26829165
8/1/11,EU-27,42801712,16887946
8/1/11,New Zealand,81734699,19055366
9/1/11,EU-27,45983358,17781653
9/1/11,New Zealand,64189982,15416439
10/1/11,EU-27,40936107,17917212
10/1/11,New Zealand,65918015,16266766
11/1/11,EU-27,54322400,23362771
11/1/11,New Zealand,118592409,31476192
12/1/11,EU-27,59209632,27893359
12/1/11,New Zealand,128087413,35658903
1/1/12,EU-27,41592704,18822939
1/1/12,New Zealand,214287719,59299963
2/1/12,EU-27,55698266,22750668
2/1/12,New Zealand,257113971,71302002
3/1/12,EU-27,65351194,26963266
3/1/12,New Zealand,253185317,68684633
4/1/12,EU-27,47675686,19447822
4/1/12,New Zealand,152617661,41698821
5/1/12,EU-27,61371234,24126247
5/1/12,New Zealand,157316317,42729561
6/1/12,EU-27,44292397,17917462
6/1/12,New Zealand,128869904,35800336
7/1/12,EU-27,52176072,20695422
7/1/12,New Zealand,152159441,44385870
8/1/12,EU-27,47703310,20033562
8/1/12,New Zealand,191278758,59716588
9/1/12,EU-27,46059069,19003403
9/1/12,New Zealand,97195585,31127888
1/1/16,EU-27,74766499,65090783.19
1/1/16,New Zealand,408889265,153523976.2
2/1/16,EU-27,41961185,36592674.4
2/1/16,New Zealand,170196315,65421102.49
3/1/16,EU-27,78994927,74422239.35
3/1/16,New Zealand,183275600,76826412.16
4/1/16,EU-27,81426392,77653879.14
4/1/16,New Zealand,123000089,51557777.63
5/1/16,EU-27,85761635,84931508.42
5/1/16,New Zealand,120735256,52423598.1
6/1/16,EU-27,75193352,69627292.88
6/1/16,New Zealand,119323638,50932574.791999996
