"Data generated on Thursday, April 23, 2026 at 10:35:06 AM EST"
Area/Partners of Destination,,,,,January 2005 - December 2026
And Commodities Exported,,,,,Values in Thousands of dollars
,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,
,Partner,,HS Code,Product,Year,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Reporter Code,Partner Code,Product Code,
"1","China","1","0404","Whey, Natural Milk","2005-2005","1,855","2,926","4,674","4,399","2,838","1,733","1,675","2,251","2,520","2,281","2,296","1,968","31,416","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2006-2006","2,051","3,527","5,947","5,318","4,221","4,607","3,617","2,494","4,079","3,414","4,603","5,501","49,378","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2007-2007","4,707","7,092","10,040","6,941","9,907","5,048","2,811","5,051","4,385","10,101","8,760","8,699","83,541","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2008-2008","5,704","7,488","5,352","6,994","4,221","5,171","7,990","8,055","6,775","5,689","7,378","6,028","76,846","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2009-2009","3,049","4,366","6,738","5,233","6,425","4,813","4,953","5,697","7,354","6,840","6,446","9,058","70,971","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2010-2010","9,036","9,819","10,085","11,570","11,838","6,649","6,497","7,359","8,922","9,265","9,117","14,015","114,171","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2011-2011","10,008","6,510","11,940","9,062","13,587","12,197","14,176","17,914","14,875","20,156","27,438","17,730","175,591","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2012-2012","11,520","11,706","15,847","14,614","16,182","13,344","13,056","14,666","18,149","15,934","14,525","15,756","175,300","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2013-2013","17,361","11,078","12,740","18,171","19,720","23,726","25,971","26,603","18,956","21,655","21,645","23,608","241,234","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2014-2014","20,117","17,255","26,200","24,687","25,374","23,521","26,414","21,250","17,100","21,909","16,197","16,312","256,337","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2015-2015","11,274","8,570","13,085","18,295","17,874","15,363","13,609","10,268","11,460","12,636","11,947","12,081","156,463","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2016-2016","10,188","10,897","9,699","9,882","13,795","14,654","14,160","15,622","13,951","15,847","19,370","21,179","169,243","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2017-2017","17,989","22,419","22,397","21,757","23,450","22,570","21,248","19,564","16,399","17,031","20,231","21,020","246,074","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2018-2018","17,941","16,906","21,944","21,502","19,311","16,302","15,044","11,906","9,365","10,867","10,953","11,984","184,025","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2019-2019","9,481","8,327","11,486","9,748","9,690","11,612","9,492","7,745","10,710","5,925","11,538","10,030","115,784","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2020-2020","12,669","10,074","11,013","15,457","17,591","19,208","17,590","19,942","18,319","23,012","18,552","22,723","206,152","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2021-2021","19,724","22,465","24,693","24,710","27,117","26,690","26,873","26,138","22,385","20,189","17,687","12,755","271,427","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2022-2022","13,631","17,677","22,325","21,965","27,570","27,898","28,015","33,388","29,663","24,841","36,055","23,293","306,324","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2023-2023","21,374","18,740","21,507","18,512","17,757","15,823","14,919","16,101","17,929","15,804","17,623","14,024","210,115","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2024-2024","15,978","17,741","16,789","18,049","18,299","18,532","16,207","22,425","20,478","20,199","17,910","19,227","221,836","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2025-2025","25,003","21,167","23,288","12,304","5,299","21,069","16,364","18,316","16,951","20,416","19,927","19,716","219,820","US","CH","0404",
"1","China","1","0404","Whey, Natural Milk","2026-2026","15,352","","","","","","","","","","","","15,352","US","CH","0404",
"1","China","2","0406","Cheese And Curd","2005-2005","0","0","62","0","31","6","14","138","12","190","377","363","1,193","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2006-2006","61","235","427","218","160","333","271","352","277","158","165","174","2,830","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2007-2007","265","293","313","294","271","554","781","842","596","326","473","522","5,532","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2008-2008","273","633","1,044","1,220","1,440","688","864","987","1,255","454","848","477","10,181","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2009-2009","217","318","462","769","910","644","507","610","733","293","773","1,137","7,371","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2010-2010","879","1,275","967","1,158","1,405","980","558","1,005","858","751","565","1,507","11,907","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2011-2011","1,912","3,660","1,564","3,042","2,927","2,126","2,190","1,952","1,755","2,367","2,971","2,594","29,061","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2012-2012","2,804","2,365","3,216","2,927","4,160","3,662","3,661","3,737","2,503","2,995","2,749","1,750","36,528","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2013-2013","1,733","3,545","3,055","3,885","3,239","2,363","4,057","4,655","5,510","4,855","4,865","5,005","46,769","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2014-2014","3,687","4,562","6,641","6,085","4,408","6,466","4,637","4,664","3,080","3,733","4,032","3,244","55,237","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2015-2015","2,672","6,163","5,985","4,780","4,220","5,794","4,434","4,156","3,094","4,447","5,261","2,510","53,516","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2016-2016","1,942","3,223","3,265","3,437","3,470","3,847","4,024","3,738","3,475","5,346","2,858","4,076","42,700","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2017-2017","3,665","4,040","4,747","4,126","5,331","5,301","4,679","5,141","5,304","8,304","4,873","6,331","61,842","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2018-2018","3,935","7,153","6,694","7,455","5,302","5,292","1,906","3,153","2,122","3,506","3,671","5,062","55,251","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2019-2019","2,447","3,165","4,112","3,189","2,173","3,213","2,383","2,104","2,133","4,881","3,128","3,458","36,386","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2020-2020","2,664","3,281","2,059","3,151","4,913","6,383","2,462","1,644","2,248","3,292","2,339","3,513","37,950","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2021-2021","2,861","4,145","4,469","3,125","3,489","3,203","3,267","3,916","4,226","4,205","3,742","4,543","45,192","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2022-2022","3,046","2,203","3,047","2,026","1,872","1,644","1,626","1,984","2,832","3,374","1,779","1,995","27,428","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2023-2023","1,300","6,134","6,428","7,514","3,082","7,541","3,603","2,957","8,718","7,559","8,987","7,106","70,929","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2024-2024","1,613","7,391","3,257","4,234","5,060","2,927","1,894","1,878","1,757","2,852","3,025","3,721","39,610","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2025-2025","3,602","3,391","2,861","2,216","895","2,007","1,677","2,559","1,906","2,420","1,128","1,637","26,300","US","CH","0406",
"1","China","2","0406","Cheese And Curd","2026-2026","1,840","","","","","","","","","","","","1,840","US","CH","0406",
"1","China","3","0402","Milk Concentrated","2005-2005","754","2,643","331","847","196","281","461","387","591","0","254","0","6,746","US","CH","0402",
"1","China","3","0402","Milk Concentrated","2006-2006","19","1,695","2,000","3,251","4,431","2,779","3,627","3,468","1,119","2,739","863","24","26,015","US","CH","0402",
