year,dairy_qty(Ton),dairy_value(K usd),dairy_price(usd/kg)
2005,72200.4,39708,0.55
2006,114083.1,79542,0.6972
2007,84195.2,113208,1.3446
2008,158465.3,135917,0.8577
2009,251453.3,91969,0.3657
2010,355169.2,169307,0.4767
2011,605253.2,265925,0.4394
2012,1590629.2,271425,0.1706
2013,2659574.1,540703,0.2033
2014,4766144.5,514450,0.1079
2015,1457665.4,292199,0.2005
2016,543313.5,263060,0.4842
2017,413814.8,406622,0.9826
2018,435124.2,312257,0.7176
2019,478798.0,186676,0.3899
2020,683097.9,324964,0.4757
2021,964562.1,488287,0.5062
2022,428015.4,532888,1.245
2023,414381.5,345770,0.8344
2024,310159.1,297728,0.9599
2025,307119.7,262391,0.8544
