"Data generated on Thursday, April 23, 2026 at 10:34:02 AM EST"
Area/Partners of Destination,,,,,January 2005 - December 2026
And Commodities Exported,,,,,Cumulative To Date Quantities/Unit Values in Dollars
,,,,,,,January,January,February,February,March,March,April,April,May,May,June,June,July,July,August,August,September,September,October,October,November,November,December,December,Total,Total,,
,Partner,,HS Code,Product,Year,UOM,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Unit Value,Qty,Period/Period %  Change (Unit Value),Reporter Code,Partner Code,Product Code,
"1","China","1","0406","Cheese And Curd","2005-2005","MT","","0.0","","0.0","5,438.1","11.4","","0.0","7,444.2","4.1","6,267.0","1.0","3,398.0","4.1","5,656.7","24.4","1,577.5","7.4","3,619.3","52.6","5,445.6","69.3","4,364.5","83.1","4,634.0","257.5","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2006-2006","MT","5,576.7","10.9","2,117.4","111.2","1,871.1","228.3","1,666.7","130.8","2,560.0","62.4","2,626.4","126.9","2,425.4","111.7","2,294.9","153.4","2,486.3","111.3","1,792.3","88.2","4,418.0","37.2","4,241.3","41.1","2,332.9","1,213.2","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2007-2007","MT","3,591.4","73.9","3,740.2","78.4","4,164.3","75.3","4,127.6","71.3","4,284.8","63.2","4,585.4","120.7","4,322.3","180.6","5,184.0","162.5","5,179.4","115.2","4,642.5","70.2","5,015.6","94.4","5,240.5","99.7","4,589.6","1,205.3","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2008-2008","MT","5,254.8","51.9","5,391.2","117.4","4,968.6","210.1","5,008.1","243.5","4,981.9","289.0","5,133.9","134.0","5,215.0","165.7","5,011.0","197.0","5,196.0","241.6","5,368.4","84.5","4,832.7","175.4","4,023.9","118.4","5,019.0","2,028.6","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2009-2009","MT","5,510.0","39.3","3,640.1","87.3","3,575.0","129.2","3,976.5","193.5","3,635.8","250.2","3,686.0","174.6","3,844.1","131.8","3,321.0","183.6","3,557.6","206.1","3,851.4","76.0","3,985.3","194.0","4,210.2","270.1","3,808.2","1,935.7","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2010-2010","MT","4,239.9","207.2","3,985.2","319.8","4,141.1","233.5","3,645.7","317.5","4,152.9","338.4","4,061.2","241.3","4,106.6","136.0","4,058.0","247.6","4,115.0","208.4","4,760.9","157.7","4,366.7","129.4","4,576.1","329.4","4,154.2","2,866.3","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2011-2011","MT","3,685.4","518.9","3,959.8","924.4","4,431.3","353.0","4,258.3","714.5","4,086.9","716.1","4,140.8","513.4","4,464.0","490.5","5,113.2","381.8","5,188.0","338.2","4,802.2","492.9","4,478.9","663.3","4,546.8","570.6","4,352.0","6,677.5","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2012-2012","MT","4,059.3","690.7","4,299.1","550.1","4,046.0","794.9","4,231.1","691.7","4,058.6","1,024.9","4,047.7","904.6","4,026.3","909.4","3,944.3","947.6","4,279.9","584.9","4,291.2","698.0","4,438.6","619.3","4,578.8","382.1","4,151.9","8,798.0","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2013-2013","MT","4,179.5","414.6","3,783.0","937.0","3,920.6","779.3","4,081.5","951.9","4,111.5","787.9","4,676.2","505.4","4,490.3","903.5","4,017.7","1,158.7","4,049.8","1,360.5","4,222.7","1,149.8","4,198.6","1,158.8","4,049.9","1,235.8","4,123.0","11,343.3","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2014-2014","MT","4,439.9","830.4","4,554.5","1,001.7","4,404.0","1,508.1","4,539.1","1,340.5","4,802.1","917.8","4,478.0","1,443.9","4,565.4","1,015.6","4,483.7","1,040.1","4,512.5","682.5","5,085.4","734.0","5,164.2","780.7","5,246.1","618.3","4,636.4","11,913.7","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2015-2015","MT","4,705.5","567.9","4,198.4","1,468.0","4,221.1","1,417.9","4,248.8","1,125.1","4,160.3","1,014.3","4,589.7","1,262.4","4,342.2","1,021.2","4,441.7","935.6","4,449.3","695.4","4,440.0","1,001.5","4,283.3","1,228.3","4,521.1","555.1","4,353.5","12,292.7","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2016-2016","MT","4,123.8","470.8","4,470.7","720.9","4,509.6","723.9","4,671.5","735.8","4,141.4","838.0","4,085.1","941.7","3,990.2","1,008.4","4,266.9","876.0","4,485.6","774.7","4,786.3","1,116.9","4,383.3","652.0","4,527.7","900.2","4,375.3","9,759.3","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2017-2017","MT","4,342.7","844.0","4,655.8","867.7","4,517.0","1,050.9","4,703.2","877.3","4,194.9","1,270.7","4,157.8","1,274.9","4,229.5","1,106.3","4,330.3","1,187.2","4,342.3","1,221.5","4,322.4","1,921.2","4,431.9","1,099.6","4,772.5","1,326.6","4,402.2","14,047.8","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2018-2018","MT","4,664.7","843.6","4,106.4","1,741.9","4,152.0","1,612.2","4,336.2","1,719.3","4,376.0","1,211.5","4,696.5","1,126.9","4,390.0","434.1","4,617.3","682.9","4,923.2","431.0","5,169.8","678.2","4,944.1","742.4","4,501.5","1,124.6","4,474.3","12,348.5","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2019-2019","MT","4,090.6","598.1","4,250.9","744.4","4,204.6","978.1","4,489.9","710.3","4,634.4","468.8","4,728.0","679.7","4,513.0","528.1","5,603.1","375.5","4,542.5","469.5","5,342.1","913.7","5,018.5","623.3","5,081.1","680.6","4,682.9","7,770.1","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2020-2020","MT","4,822.7","552.4","5,960.0","550.5","5,631.8","365.7","5,164.1","610.1","4,475.5","1,097.7","3,829.1","1,666.9","4,755.6","517.8","5,819.0","282.5","5,883.5","382.2","4,731.1","695.8","6,336.3","369.1","6,238.2","563.2","4,958.2","7,653.9","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2021-2021","MT","4,919.2","581.6","5,277.7","785.3","5,098.0","876.7","5,564.1","561.7","5,387.0","647.7","4,766.2","672.0","4,272.5","764.6","4,198.2","932.9","5,436.2","777.4","4,925.4","853.7","4,871.1","768.3","5,008.1","907.1","4,950.4","9,129.0","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2022-2022","MT","5,501.6","553.6","5,160.4","426.9","5,151.3","591.6","5,857.6","345.9","6,958.4","269.1","5,580.7","294.7","7,258.3","224.0","5,582.8","355.3","5,697.5","497.0","5,626.3","599.7","5,152.6","345.3","5,446.5","366.3","5,632.9","4,869.3","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2023-2023","MT","6,132.4","211.9","5,833.6","1,051.4","5,840.0","1,100.7","5,794.2","1,296.9","5,569.7","553.4","4,797.7","1,571.7","4,488.7","802.6","5,674.0","521.2","4,518.9","1,929.2","5,144.0","1,469.6","5,494.7","1,635.5","5,855.6","1,213.6","5,310.0","13,357.8","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2024-2024","MT","4,747.6","339.8","5,100.3","1,449.1","4,984.6","653.4","5,555.4","762.2","4,889.5","1,034.9","5,897.4","496.4","6,363.8","297.7","5,837.7","321.8","6,197.9","283.5","6,472.8","440.7","5,984.1","505.4","6,186.1","601.5","5,511.9","7,186.3","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2025-2025","MT","5,097.4","706.7","5,730.1","591.7","6,458.7","443.0","6,256.0","354.2","5,864.4","152.7","5,828.2","344.4","5,271.5","318.1","7,235.2","353.7","5,498.0","346.7","5,191.6","466.1","6,418.7","175.8","5,859.8","279.4","5,802.6","4,532.5","","US","CH","0406",
"1","China","1","0406","Cheese And Curd","2026-2026","MT","5,990.9","307.2","","","","","","","","","","","","","","","","","","","","","","","5,990.9","307.2","","US","CH","0406",
"1","China","2","0402","Milk Concentrated","2005-2005","MT","2,135.5","353.0","1,949.6","1,355.9","1,968.5","168.2","1,893.5","447.1","1,849.0","106.1","1,883.9","149.4","2,203.5","209.3","2,036.2","190.0","2,146.0","275.5","","0.0","1,630.3","155.7","","0.0","1,978.1","3,410.1","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2006-2006","MT","996.0","19.4","2,119.2","800.0","1,999.6","1,000.0","2,006.8","1,620.1","2,027.5","2,185.5","2,046.7","1,357.5","1,970.1","1,841.2","2,008.8","1,726.4","1,855.3","603.0","1,814.7","1,509.3","2,023.6","426.4","2,071.3","11.7","1,985.8","13,100.7","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2007-2007","MT","2,426.9","120.2","2,185.3","128.8","2,055.0","37.2","2,561.6","21.5","2,042.8","192.0","4,219.4","629.3","4,142.4","210.7","3,960.8","354.7","1,141.9","1,239.3","3,962.8","453.1","4,167.5","1,461.0","4,158.1","1,876.7","3,440.1","6,724.5","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2008-2008","MT","4,117.9","2,868.0","3,537.7","2,310.3","3,636.5","2,240.6","3,589.0","1,416.0","3,168.4","1,907.4","2,639.0","458.9","3,787.5","1,135.4","2,515.9","786.8","3,260.2","69.1","2,544.0","145.1","4,242.4","50.5","2,924.6","12.9","3,551.5","13,401.0","","US","CH","0402",
"1","China","2","0402","Milk Concentrated","2009-2009","MT","3,253.8","1.1","","0.0","9,024.6","1.1","1,785.7","399.5","1,846.1","1,102.8","1,881.7","642.3","1,886.7","406.2","1,957.0","436.4","1,834.0","379.8","2,116.4","1,599.7","2,302.7","809.2","3,300.4","241.9","2,049.1","6,019.9","","US","CH","0402",
