date,year,month_num,month,HS_dairy_qty(MT),HS_dairy_value(Kusd),HS_dairy_price(usd/kg),,,,alfalfa_qty,alfalfa_price_usd_ton,,,,
1/1/05,2005,1,January,4264.4,2609,0.611809,,,,0,NA,,,,
2/1/05,2005,2,February,7644.6,5575,0.729273,,,,144,97.22222222222223,,,,
3/1/05,2005,3,March,8943.7,5067,0.566544,,,,0,NA,,,,
4/1/05,2005,4,April,9788.7,5246,0.535924,,,,0,NA,,,,
5/1/05,2005,5,May,6519.9,3079,0.472247,,,,0,NA,,,,
6/1/05,2005,6,June,4159.1,2053,0.493616,,,,100,220,,,,
7/1/05,2005,7,July,4834.9,2374,0.491013,,,,0,NA,,,,
8/1/05,2005,8,August,5605.7,2796,0.498778,,,,7,857.1428571428571,,,,
9/1/05,2005,9,September,6389.9,3146,0.492339,,,,0,NA,,,,
10/1/05,2005,10,October,4678,2471,0.528217,,,,0,NA,,,,
11/1/05,2005,11,November,4763.5,2938,0.616773,,,,0,NA,,,,
12/1/05,2005,12,December,4608.2,2352,0.510395,,,,0,NA,,,,
1/1/06,2006,1,January,40742.8,2194,0.05385,,,,213,220.65727699530515,,,,
2/1/06,2006,2,February,6993.7,5508,0.787566,,,,0,NA,,,,
3/1/06,2006,3,March,9824.9,8382,0.853138,,,,0,NA,,,,
4/1/06,2006,4,April,9582.7,8829,0.921348,,,,0,NA,,,,
5/1/06,2006,5,May,8254.1,8909,1.079342,,,,0,NA,,,,
6/1/06,2006,6,June,6397,8155,1.274816,,,,0,NA,,,,
7/1/06,2006,7,July,7142.5,7992,1.118936,,,,0,NA,,,,
8/1/06,2006,8,August,5106.8,6349,1.243244,,,,0,NA,,,,
9/1/06,2006,9,September,5823.8,5485,0.941825,,,,0,NA,,,,
10/1/06,2006,10,October,5621.5,6342,1.128169,,,,107,140.18691588785046,,,,
11/1/06,2006,11,November,3971.3,5685,1.431521,,,,0,NA,,,,
12/1/06,2006,12,December,4622,5713,1.236045,,,,100,200,,,,
1/1/07,2007,1,January,3670.3,5339,1.454649,,,,0,NA,,,,
2/1/07,2007,2,February,5044,7760,1.538462,,,,218.2,227.27272727272728,,,,
3/1/07,2007,3,March,7217.7,10437,1.446029,,,,196.9,181.8181818181818,,,,
4/1/07,2007,4,April,20406.2,7396,0.362439,,,,0,NA,,,,
5/1/07,2007,5,May,6441.4,10759,1.670289,,,,0,NA,,,,
6/1/07,2007,6,June,3847.6,8274,2.150431,,,,22,181.8181818181818,,,,
7/1/07,2007,7,July,1987.1,4490,2.259574,,,,0,NA,,,,
8/1/07,2007,8,August,4238.1,7467,1.761874,,,,44,113.63636363636364,,,,
9/1/07,2007,9,September,5205.1,6492,1.247238,,,,595,176.47058823529412,,,,
10/1/07,2007,10,October,8298.8,12251,1.476238,,,,585,170.94017094017093,,,,
11/1/07,2007,11,November,8345.1,15385,1.843597,,,,303,250.82508250825083,,,,
12/1/07,2007,12,December,9493.9,17155,1.80695,,,,706,208.21529745042494,,,,
1/1/08,2008,1,January,7379.1,18059,2.447317,,,,835,200,,,,
2/1/08,2008,2,February,7418.8,16372,2.206826,,,,1447,203.17899101589495,,,,
