date,year,month_num,month,hs_code,product,dairy_qty(Ton),dairy_value(K usd),dairy_price(usd/kg)
1/1/05,2005,1,January,0402,Milk Concentrated,353,754,2.135977
1/1/05,2005,1,January,0403,Buttermilk,0,0,
1/1/05,2005,1,January,0404,"Whey, Natural Milk",3911.4,1855,0.474255
1/1/05,2005,1,January,0405,"Butter, Fats, Milk",0,0,
1/1/05,2005,1,January,0406,Cheese And Curd,0,0,
2/1/05,2005,2,February,0402,Milk Concentrated,1355.9,2643,1.949259
2/1/05,2005,2,February,0403,Buttermilk,1.4,6,4.285714
2/1/05,2005,2,February,0404,"Whey, Natural Milk",6287.3,2926,0.465383
2/1/05,2005,2,February,0405,"Butter, Fats, Milk",0,0,
2/1/05,2005,2,February,0406,Cheese And Curd,0,0,
3/1/05,2005,3,March,0402,Milk Concentrated,168.2,331,1.967895
3/1/05,2005,3,March,0403,Buttermilk,0,0,
3/1/05,2005,3,March,0404,"Whey, Natural Milk",8764.1,4674,0.533312
3/1/05,2005,3,March,0405,"Butter, Fats, Milk",0,0,
3/1/05,2005,3,March,0406,Cheese And Curd,11.4,62,5.438596
4/1/05,2005,4,April,0402,Milk Concentrated,447.1,847,1.894431
4/1/05,2005,4,April,0403,Buttermilk,0,0,
4/1/05,2005,4,April,0404,"Whey, Natural Milk",9341.6,4399,0.470904
4/1/05,2005,4,April,0405,"Butter, Fats, Milk",0,0,
4/1/05,2005,4,April,0406,Cheese And Curd,0,0,
5/1/05,2005,5,May,0402,Milk Concentrated,106.1,196,1.847314
5/1/05,2005,5,May,0403,Buttermilk,14.8,14,0.945946
5/1/05,2005,5,May,0404,"Whey, Natural Milk",6394.9,2838,0.443791
5/1/05,2005,5,May,0405,"Butter, Fats, Milk",0,0,
5/1/05,2005,5,May,0406,Cheese And Curd,4.1,31,7.560976
6/1/05,2005,6,June,0402,Milk Concentrated,149.4,281,1.880857
6/1/05,2005,6,June,0403,Buttermilk,4.7,33,7.021277
6/1/05,2005,6,June,0404,"Whey, Natural Milk",4004,1733,0.432817
6/1/05,2005,6,June,0405,"Butter, Fats, Milk",0,0,
6/1/05,2005,6,June,0406,Cheese And Curd,1,6,6
7/1/05,2005,7,July,0402,Milk Concentrated,209.3,461,2.20258
7/1/05,2005,7,July,0403,Buttermilk,195.6,216,1.104294
7/1/05,2005,7,July,0404,"Whey, Natural Milk",4413.4,1675,0.379526
7/1/05,2005,7,July,0405,"Butter, Fats, Milk",12.5,8,0.64
7/1/05,2005,7,July,0406,Cheese And Curd,4.1,14,3.414634
8/1/05,2005,8,August,0402,Milk Concentrated,190,387,2.036842
8/1/05,2005,8,August,0403,Buttermilk,7.7,8,1.038961
8/1/05,2005,8,August,0404,"Whey, Natural Milk",5379.1,2251,0.418471
8/1/05,2005,8,August,0405,"Butter, Fats, Milk",4.5,12,2.666667
8/1/05,2005,8,August,0406,Cheese And Curd,24.4,138,5.655738
9/1/05,2005,9,September,0402,Milk Concentrated,275.5,591,2.145191
9/1/05,2005,9,September,0403,Buttermilk,20.6,23,1.116505
9/1/05,2005,9,September,0404,"Whey, Natural Milk",6086.4,2520,0.414038
9/1/05,2005,9,September,0405,"Butter, Fats, Milk",0,0,
9/1/05,2005,9,September,0406,Cheese And Curd,7.4,12,1.621622
10/1/05,2005,10,October,0402,Milk Concentrated,0,0,
10/1/05,2005,10,October,0403,Buttermilk,0,0,
10/1/05,2005,10,October,0404,"Whey, Natural Milk",4625.4,2281,0.493147
10/1/05,2005,10,October,0405,"Butter, Fats, Milk",0,0,
10/1/05,2005,10,October,0406,Cheese And Curd,52.6,190,3.612167
11/1/05,2005,11,November,0402,Milk Concentrated,155.7,254,1.631342
11/1/05,2005,11,November,0403,Buttermilk,0,0,
11/1/05,2005,11,November,0404,"Whey, Natural Milk",4534,2296,0.506396
11/1/05,2005,11,November,0405,"Butter, Fats, Milk",4.5,11,2.444444
11/1/05,2005,11,November,0406,Cheese And Curd,69.3,377,5.440115
12/1/05,2005,12,December,0402,Milk Concentrated,0,0,
12/1/05,2005,12,December,0403,Buttermilk,16.6,21,1.26506
12/1/05,2005,12,December,0404,"Whey, Natural Milk",4508.5,1968,0.436509
12/1/05,2005,12,December,0405,"Butter, Fats, Milk",0,0,
12/1/05,2005,12,December,0406,Cheese And Curd,83.1,363,4.368231
1/1/06,2006,1,January,0401,Milk Not Concentrate,36999,27,0.00073
1/1/06,2006,1,January,0402,Milk Concentrated,19.4,19,0.979381
1/1/06,2006,1,January,0403,Buttermilk,16,26,1.625
1/1/06,2006,1,January,0404,"Whey, Natural Milk",3694,2051,0.555225
1/1/06,2006,1,January,0405,"Butter, Fats, Milk",3.5,10,2.857143
1/1/06,2006,1,January,0406,Cheese And Curd,10.9,61,5.59633
2/1/06,2006,2,February,0401,Milk Not Concentrate,0,0,
2/1/06,2006,2,February,0402,Milk Concentrated,800,1695,2.11875
2/1/06,2006,2,February,0403,Buttermilk,37.4,46,1.229947
2/1/06,2006,2,February,0404,"Whey, Natural Milk",6039.4,3527,0.583998
2/1/06,2006,2,February,0405,"Butter, Fats, Milk",5.7,5,0.877193
2/1/06,2006,2,February,0406,Cheese And Curd,111.2,235,2.113309
3/1/06,2006,3,March,0401,Milk Not Concentrate,0,0,
3/1/06,2006,3,March,0402,Milk Concentrated,1000,2000,2
3/1/06,2006,3,March,0403,Buttermilk,0,0,
3/1/06,2006,3,March,0404,"Whey, Natural Milk",8593.6,5947,0.692027
3/1/06,2006,3,March,0405,"Butter, Fats, Milk",3,8,2.666667
3/1/06,2006,3,March,0406,Cheese And Curd,228.3,427,1.870346
4/1/06,2006,4,April,0401,Milk Not Concentrate,0,0,
4/1/06,2006,4,April,0402,Milk Concentrated,1620.1,3251,2.006666
4/1/06,2006,4,April,0403,Buttermilk,13.5,42,3.111111
4/1/06,2006,4,April,0404,"Whey, Natural Milk",7818.3,5318,0.680199
4/1/06,2006,4,April,0405,"Butter, Fats, Milk",0,0,
4/1/06,2006,4,April,0406,Cheese And Curd,130.8,218,1.666667
5/1/06,2006,5,May,0401,Milk Not Concentrate,0,0,
5/1/06,2006,5,May,0402,Milk Concentrated,2185.5,4431,2.027454
5/1/06,2006,5,May,0403,Buttermilk,0,92,inf
5/1/06,2006,5,May,0404,"Whey, Natural Milk",6004.5,4221,0.702973
5/1/06,2006,5,May,0405,"Butter, Fats, Milk",1.7,5,2.941176
5/1/06,2006,5,May,0406,Cheese And Curd,62.4,160,2.564103
6/1/06,2006,6,June,0401,Milk Not Concentrate,0,0,
6/1/06,2006,6,June,0402,Milk Concentrated,1357.5,2779,2.047145
6/1/06,2006,6,June,0403,Buttermilk,30.1,422,14.019934
6/1/06,2006,6,June,0404,"Whey, Natural Milk",4876,4607,0.944832
6/1/06,2006,6,June,0405,"Butter, Fats, Milk",6.5,14,2.153846
6/1/06,2006,6,June,0406,Cheese And Curd,126.9,333,2.624113
7/1/06,2006,7,July,0401,Milk Not Concentrate,0,0,
7/1/06,2006,7,July,0402,Milk Concentrated,1841.2,3627,1.969911
7/1/06,2006,7,July,0403,Buttermilk,23.4,400,17.094017
7/1/06,2006,7,July,0404,"Whey, Natural Milk",5117,3617,0.706859
7/1/06,2006,7,July,0405,"Butter, Fats, Milk",49.2,77,1.565041
7/1/06,2006,7,July,0406,Cheese And Curd,111.7,271,2.426141
8/1/06,2006,8,August,0401,Milk Not Concentrate,0,0,
8/1/06,2006,8,August,0402,Milk Concentrated,1726.4,3468,2.008804
8/1/06,2006,8,August,0403,Buttermilk,16.4,35,2.134146
8/1/06,2006,8,August,0404,"Whey, Natural Milk",3210.6,2494,0.776802
8/1/06,2006,8,August,0405,"Butter, Fats, Milk",0,0,
8/1/06,2006,8,August,0406,Cheese And Curd,153.4,352,2.294654
9/1/06,2006,9,September,0401,Milk Not Concentrate,0,0,
9/1/06,2006,9,September,0402,Milk Concentrated,603,1119,1.855721
9/1/06,2006,9,September,0403,Buttermilk,1.7,4,2.352941
