date,year,month,dairy_value_usd,dairy_qty_ton,dairy_usd_per_kg,tariff_rate_on_dairy,tariff_rate_on_alfalfa,feed_qty_mt,feed_value_usd,feed_price_usd_ton,farmgate_cny_kg,FAO_dairry_price_index
1/1/05,2005,1,4480,6271.7,0.714319881,10,5,851.9,774000,908.5573424,,76.21881756
2/1/05,2005,2,6996,9639.1,0.725793902,10,5,2884.5,1341000,464.8985959,,76.66764719
3/1/05,2005,3,7472,13307.1,0.561504761,10,5,967.8,541000,558.9997933,,77.00667738
4/1/05,2005,4,7818,13959.1,0.560064761,10,5,1677.8,1530000,911.9084515,,76.17646356
5/1/05,2005,5,5091,10152.9,0.501433088,10,5,11818.2,4300000,363.8455941,,76.51078968
6/1/05,2005,6,3378,5730.6,0.589467072,10,5,1508.8,1026000,680.0106045,,76.36046465
7/1/05,2005,7,4793,6675.4,0.718009408,10,5,12001,3721000,310.0574952,,77.0991157
8/1/05,2005,8,4751,7492.8,0.634075379,10,5,2353.7,1227000,521.3068785,,78.34242864
9/1/05,2005,9,4568,7616.3,0.599766291,10,5,13292.3,4047000,304.4619817,,78.74656267
10/1/05,2005,10,4141,5497.4,0.75326518,10,5,2107.3,1460000,692.8296873,,78.49946709
11/1/05,2005,11,4291,6188.6,0.693371683,10,5,14313,4235000,295.8848599,,77.96557629
12/1/05,2005,12,3726,5907.3,0.63074501,10,5,11181.6,3093000,276.6151535,,76.92674117
1/1/06,2006,1,5001,6068.5,0.824091621,10,5,10032.4,3394000,338.3038954,,74.33502425
2/1/06,2006,2,7439,8950.1,0.831163898,10,5,1874.6,1757000,937.2666169,,74.45543302
3/1/06,2006,3,10536,11567.3,0.910843498,10,5,2396.1,2107000,879.3456033,,73.06998019
4/1/06,2006,4,11149,11570.3,0.963587807,10,5,2678.7,1409000,526.0014186,,71.60039967
5/1/06,2006,5,12233,11610.4,1.053624337,10,5,3447.5,1576000,457.1428571,,71.25965795
6/1/06,2006,6,12464,8766.7,1.421743644,10,5,2179.4,1763000,808.9382399,,71.00055587
7/1/06,2006,7,11482,9032.3,1.271215526,10,5,3450.8,2139000,619.8562652,,71.28180874
8/1/06,2006,8,8902,6812.4,1.306734778,10,5,3602.5,3217000,892.9909785,,70.29798391
9/1/06,2006,9,7883,8083,0.975256712,10,5,2251.9,1790000,794.8843199,,70.34392992
10/1/06,2006,10,9906,8054,1.229947852,10,5,2438.8,1928000,790.5527309,,71.90488977
11/1/06,2006,11,9953,6789.6,1.465918464,10,5,2427.8,2075000,854.6832523,,75.39288215
12/1/06,2006,12,9296,8575.2,1.084056349,15,5,4430.2,3981000,898.6050291,,81.69783662
1/1/07,2007,1,9236,6121.9,1.508681945,15,5,4005,4039000,1008.489388,,84.24031081
2/1/07,2007,2,11251,7463.3,1.507510083,15,5,5905.5,2417000,409.2794852,,88.28446236
3/1/07,2007,3,15404,9921.2,1.552634762,15,5,6709.4,2653000,395.4153874,,91.77370071
4/1/07,2007,4,12053,7497.4,1.607623976,15,5,9200,2912000,316.5217391,,102.0297265
5/1/07,2007,5,15873,8956,1.772331398,15,5,2885.9,2610000,904.3972418,,105.2760049
6/1/07,2007,6,12218,5646.3,2.16389494,15,5,4942.5,3280000,663.6317653,,121.0446681
7/1/07,2007,7,8031,3393.1,2.366862161,15,5,3904.8,3761000,963.17353,,135.0338955
8/1/07,2007,8,9950,5325.9,1.868228844,15,5,7442.9,4729000,635.3706217,,141.4954678
9/1/07,2007,9,8068,5916.2,1.363713194,15,5,7184.6,5801000,807.4214292,,145.0935608
10/1/07,2007,10,14615,9725.5,1.502750501,15,5,12572.2,6830000,543.262118,,147.9713005
11/1/07,2007,11,17380,9752.8,1.782052334,15,5,5583.8,4980000,891.8657545,,153.9910314
12/1/07,2007,12,19444,11035.4,1.761966037,15,5,11619.2,9334000,803.3255302,,152.5594222
1/1/08,2008,1,20718,8430.5,2.457505486,0,0,11850.8,8259000,696.9149762,,150.6343671
2/1/08,2008,2,18691,9989.6,1.871045888,0,0,11852.5,4681000,394.9377768,,149.878067
3/1/08,2008,3,17688,11004.8,1.607298633,0,0,13830.9,6488000,469.0945636,,152.632936
4/1/08,2008,4,19498,11440.6,1.704281244,0,0,9236.6,5791000,626.9623021,,148.9489508
5/1/08,2008,5,16254,9485.2,1.713617003,0,0,10438,7352000,704.3494922,,144.2598033
6/1/08,2008,6,10828,8657.4,1.250721926,0,0,9151.5,5910000,645.7957712,,143.8982262
7/1/08,2008,7,16245,10463.4,1.552554619,0,0,12771.7,9857000,771.7844923,,144.1179755
8/1/08,2008,8,15441,10749.9,1.436385455,0,0,15754.8,10631000,674.7784802,,133.5486456
9/1/08,2008,9,11591,8724.5,1.32855751,0,0,10312.5,6749000,654.4484848,,120.5041686
10/1/08,2008,10,8794,9753.5,0.901625058,0,0,5372.9,4580000,852.4260641,,106.9503961
11/1/08,2008,11,12465,11412,1.092271293,0,0,5816.9,4212000,724.0970276,,97.7755885
12/1/08,2008,12,11258,10216.5,1.101942935,0,0,11575.8,4810000,415.5220374,,94.89029124
1/1/09,2009,1,5768,6818.1,0.845983485,0,0,7341.3,4377000,596.2159291,2.62,88.19398325
2/1/09,2009,2,7113,10351.2,0.687166705,0,0,10882.2,5302000,487.2176582,2.57,82.56049181
3/1/09,2009,3,12075,17034.7,0.708847235,0,0,13003.4,10359000,796.6378024,2.49,80.85013687
4/1/09,2009,4,11196,11759.8,0.952057008,0,0,18036.2,8972000,497.4440292,2.43,80.39093481
5/1/09,2009,5,13560,15901.9,0.85272829,0,0,21153.4,11100000,524.7383399,2.37,83.49287299
6/1/09,2009,6,11344,15526.9,0.730603018,0,0,28146.3,11568000,410.9954061,2.32,84.66477839
7/1/09,2009,7,9273,9326.6,0.994252997,0,0,28331.7,12277000,433.3308626,2.32,85.12781263
8/1/09,2009,8,12275,12474.9,0.983975823,0,0,90436.6,26007000,287.5716248,2.31,87.95288926
9/1/09,2009,9,11647,11018.5,1.057040432,0,0,140280,32372000,230.7670374,2.36,95.0789374
10/1/09,2009,10,15194,15582,0.975099474,0,0,176179.3,40878000,232.0249882,2.43,102.6565122
11/1/09,2009,11,12855,13043.5,0.985548357,0,0,146126.2,36519000,249.9141153,2.52,113.0970062
12/1/09,2009,12,15140,14248.9,1.062538161,0,0,149658.5,36433000,243.4409005,2.68,112.802408
